team_id,team_name,confederation,fifa_rank,attack_rating,defense_rating,midfield_rating,form_rating
1,Argentina,CONMEBOL,1,92,88,90,91
2,France,UEFA,2,91,87,89,90
3,Brazil,CONMEBOL,5,90,86,88,86
4,England,UEFA,4,89,85,87,88
5,Portugal,UEFA,6,88,84,86,87
6,Spain,UEFA,8,86,83,88,85
7,Germany,UEFA,10,85,82,86,83
8,Netherlands,UEFA,7,86,84,85,84
9,Canada,CONCACAF,48,76,70,73,78
10,United States,CONCACAF,13,80,76,78,79
11,Mexico,CONCACAF,15,79,75,77,78
12,Japan,AFC,18,78,76,78,80
13,Morocco,CAF,12,79,78,77,79
14,Uruguay,CONMEBOL,11,82,80,81,82
15,Croatia,UEFA,9,81,80,84,80
16,Senegal,CAF,19,78,77,76,77
